"Scenario","Metric","Timestamp","Value","Job","Instance","AP","Radio","Band","Client","Service","State","Labels"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:20:10","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:20:15","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Cobertura estable, baja interferencia y baja carga.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=normal"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:20:20","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:20:25","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:20:30","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:20:35","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:20:40","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:20:45","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:20:50","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:20:55","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:21:00","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:21:05","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_scenario_info","04/07/2026 10:21:10","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"saturation","easymesh_sim_radio_utilization_percent","04/07/2026 10:20:10","32.7","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
