"Scenario","Metric","Timestamp","Value","Job","Instance","AP","Radio","Band","Client","Service","State","Labels"
"interference","easymesh_sim_scenario_info","04/07/2026 10:18:50","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:18:55","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:00","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:05","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:10","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:15","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:20","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:25","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:30","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:35","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:40","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:45","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_scenario_info","04/07/2026 10:19:50","1","easymesh-network-simulator","easymesh-network-simulator:9200","","","","","","","description=Movimiento de MOVIL_SARA y steering hacia el satelite.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=roaming"
"interference","easymesh_sim_radio_utilization_percent","04/07/2026 10:18:50","44.7","easymesh-network-simulator","easymesh-network-simulator:9200","AP_DORMITORIO","wlan0","2.4GHz","","","","ap=AP_DORMITORIO;band=2.4GHz;channel=6;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;radio=wlan0;standard=802.11n/ax"
