"Scenario","Categoria","Explicacion","Metric","Timestamp","Value","AP","Radio","Band","Channel","Client","Service","State","EventType","Reason","Labels"
"backhaul_degraded","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:56:11","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"backhaul_degraded","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:56:16","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"backhaul_degraded","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:56:21","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"backhaul_degraded","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:56:26","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"backhaul_degraded","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:56:31","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"backhaul_degraded","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:56:36","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"backhaul_degraded","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:56:41","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"backhaul_degraded","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:56:46","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"backhaul_degraded","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:56:51","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
"backhaul_degraded","Control laboratorio","Escenario activo","easymesh_sim_scenario_info","04/07/2026 10:56:56","1","","","","","","","","","","description=Trafico intensivo y saturacion de radio en el AP principal.;instance=easymesh-network-simulator:9200;job=easymesh-network-simulator;scenario=saturation"
